,cord_uid,affiliations,location
81,e1iaiwc6,,
82,fooovon8,,
83,pyam9yn3,Andrew D Livingston (University of Edinburgh ; EH16 4SB ; Edinburgh ; UK) ; Colin J Campbell (University of Edinburgh ; EH16 4SB ; Edinburgh ; UK) ; Edward K Wagner (University of California ; 92697 ; Irvine ; CA ; USA) ; Peter Ghazal (University of Edinburgh ; EH16 4SB ; Edinburgh ; UK),EH16 4SB ; Edinburgh ; UK ; EH16 4SB ; Edinburgh ; UK ; 92697 ; Irvine ; CA ; USA ; EH16 4SB ; Edinburgh ; UK
84,zc491h8v,,
85,ff7dg890,Helen J Wearing (University of Georgia ; Athens ; Georgia ; United States of America) ; Pejman Rohani (University of Georgia ; Athens ; Georgia ; United States of America) ; Matt J Keeling (University of Warwick ; Coventry ; United Kingdom),Athens ; Georgia ; United States of America ; Athens ; Georgia ; United States of America ; Coventry ; United Kingdom
86,7ots8npg,,
87,whoydkd5,"Youfang Cao (Shanghai Jiao Tong University ; 200240 ; Shanghai ; China) ; Lianjie Wang (Northwest Institute of Light Industry ; 712081 ; Xianyang, Shaanxi ; China) ; Kexue Xu (Chinese Academy of Sciences ; 100093 ; Beijing ; China) ; Chunhai Kou (Shanghai Jiao Tong University ; 200240 ; Shanghai ; China) ; Yulei Zhang (Shanghai Jiao Tong University ; 200240 ; Shanghai ; China) ; Guifang Wei (Shanghai Jiao Tong University ; 200240 ; Shanghai ; China) ; Junjian He (Shanghai Jiao Tong University ; 200240 ; Shanghai ; China) ; Yunfang Wang (Shanghai Jiao Tong University ; 200240 ; Shanghai ; China) ; Liping Zhao (Shanghai Jiao Tong University ; 200240 ; Shanghai ; China)","200240 ; Shanghai ; China ; 712081 ; Xianyang, Shaanxi ; China ; 100093 ; Beijing ; China ; 200240 ; Shanghai ; China ; 200240 ; Shanghai ; China ; 200240 ; Shanghai ; China ; 200240 ; Shanghai ; China ; 200240 ; Shanghai ; China ; 200240 ; Shanghai ; China"
88,covwyddp,Timothy Hp Tan ; Timothy Barkham (Tan Tock Seng Hospital) ; Burtram C Fielding ; Chih-Fong Chou ; Shuo Shen ; Seng Gee Lim ; Wanjin Hong ; Yee-Joo Tan,  ;   ;   ;   ;   ;   ;   ;  
89,3ylcev0n,Andrew S Mclellan (University College Cork ; College Road ; Ireland) ; Wolfgang Zimmermann (Marchioninistrasse 23 ; D-81377 ; Muenchen ; Germany) ; Tom Moore (University College Cork ; College Road ; Ireland),College Road ; Ireland ; Marchioninistrasse 23 ; D-81377 ; Muenchen ; Germany ; College Road ; Ireland
90,eqiokrub,"Lia Van Der Hoek (University of Amsterdam ; Amsterdam ; The Netherlands) ; Klaus Sure (Ruhr-University Bochum ; Bochum, Germany) ; Gabriele Ihorst (University Hospital ; 4 Wyeth Pharma, Mü nster ; Freiburg, Germany, Germany) ; Alexander Stang (Ruhr-University Bochum ; Bochum, Germany) ; Krzysztof Pyrc (University of Amsterdam ; Amsterdam ; The Netherlands) ; Maarten F Jebbink (University of Amsterdam ; Amsterdam ; The Netherlands) ; Gudula Petersen ; Johannes Forster (St. Josefs Hospital ; Freiburg ; Germany) ; Ben Berkhout (University of Amsterdam ; Amsterdam ; The Netherlands) ; Klaus Ü Berla (Ruhr-University Bochum ; Bochum, Germany)","Amsterdam ; The Netherlands ; Bochum, Germany ; 4 Wyeth Pharma, Mü nster ; Freiburg, Germany, Germany ; Bochum, Germany ; Amsterdam ; The Netherlands ; Amsterdam ; The Netherlands ;   ; Freiburg ; Germany ; Amsterdam ; The Netherlands ; Bochum, Germany"
91,9k55f9o6,,
92,az4a70b0,,
93,2vlvz5o9,,
94,jlhykfbf,,
95,cl9gpt9w,,
96,ndnze5o4,,
97,176djnf5,,
98,ltp7iv1z,,
99,qzm9wgde,,
100,qm5a5c4b,,
101,dgnddq80,,
102,ofx0hvvs,,
103,kqithgfo,,
104,5dx3lscp,Maged N Kamel Boulos (University of Bath ; Claverton Down ; BA2 7AY ; Bath ; UK) ; Email : Maged (University of Bath ; Claverton Down ; BA2 7AY ; Bath ; UK) ; Kamel Boulos (University of Bath ; Claverton Down ; BA2 7AY ; Bath ; UK) ; -M N K Ac Boulos@bath (University of Bath ; Claverton Down ; BA2 7AY ; Bath ; UK) ;  Uk (University of Bath ; Claverton Down ; BA2 7AY ; Bath ; UK),Claverton Down ; BA2 7AY ; Bath ; UK ; Claverton Down ; BA2 7AY ; Bath ; UK ; Claverton Down ; BA2 7AY ; Bath ; UK ; Claverton Down ; BA2 7AY ; Bath ; UK ; Claverton Down ; BA2 7AY ; Bath ; UK
105,pqzwk6rj,,
106,ej795nks,P C Lai ; C M Wong (University of Hong Kong ; Hong ; People's Republic of China) ; A J Hedley (University of Hong Kong ; Hong ; People's Republic of China) ; S V Lo ; P Y Leung ; J Kong (Hong Kong Hospital Authority ; Hong ; People's Republic of China) ; G M Leung (University of Hong Kong ; Hong ; People's Republic of China),  ; Hong ; People's Republic of China ; Hong ; People's Republic of China ;   ;   ; Hong ; People's Republic of China ; Hong ; People's Republic of China
107,xv0esvos,,
108,9mzs5dl4,,
109,mxyxwkhx,,
110,k4en9ksd,,
111,ovpgw054,,
112,bb27z7h0,,
113,t40ybhgb,"Shea N Gardner (Lawrence Livermore National Laboratory ; PO Box 808 ; L-174, 94551 ; Livermore ; CA ; USA) ; Marisa W Lam (Lawrence Livermore National Laboratory ; PO Box 808 ; L-174, 94551 ; Livermore ; CA ; USA) ; Jason R Smith (Lawrence Livermore National Laboratory ; PO Box 808 ; L-174, 94551 ; Livermore ; CA ; USA) ; Clinton L Torres (Lawrence Livermore National Laboratory ; PO Box 808 ; L-174, 94551 ; Livermore ; CA ; USA) ; Tom R Slezak (Lawrence Livermore National Laboratory ; PO Box 808 ; L-174, 94551 ; Livermore ; CA ; USA)","PO Box 808 ; L-174, 94551 ; Livermore ; CA ; USA ; PO Box 808 ; L-174, 94551 ; Livermore ; CA ; USA ; PO Box 808 ; L-174, 94551 ; Livermore ; CA ; USA ; PO Box 808 ; L-174, 94551 ; Livermore ; CA ; USA ; PO Box 808 ; L-174, 94551 ; Livermore ; CA ; USA"
114,fghu8ouc,,
115,fkigak9x,,
116,wzun1vvq,,
117,o088rxb5,,
118,wy07nao0,Arul Earnest ; Mark I †1 (Tan Tock Seng Hospital ; Singapore) ;  Chen (Tan Tock Seng Hospital ; Singapore) ; Donald Ng (Tan Tock Seng Hospital ; Singapore) ; Leo Yee Sin (Communicable Disease Centre ; Singapore),  ; Singapore ; Singapore ; Singapore ; Singapore
119,i948aq4b,,
120,g2f151oc,Nava Whiteford ; Niall Haslam ; Gerald Weber ; Adam Prü Gel-Bennett (University of Southampton ; SO17 1BJ ; Southampton ; UK) ; Jonathan W Essex ; Peter L Roach ; Mark Bradley (University of Edinburgh ; EH9 3JJ ; Edinburgh ; UK) ; Cameron Neylon,  ;   ;   ; SO17 1BJ ; Southampton ; UK ;   ;   ; EH9 3JJ ; Edinburgh ; UK ;  
121,zwbc7nnn,,
122,bhlnwu69,John M Drake, 
123,luzi6tfw,,
124,4azsywuu,Andrew B Cooper (University of Toronto ; Toronto ; Canada) ; Amit S Joglekar (University of Toronto ; Toronto ; Canada) ; Jennifer Gibson (University of Toronto ; Toronto ; Canada) ; Alissa H Swota (University of North ; Jacksonville ; USA) ; Douglas K Martin (University of Toronto ; Toronto ; Canada),Toronto ; Canada ; Toronto ; Canada ; Toronto ; Canada ; Jacksonville ; USA ; Toronto ; Canada
125,vblgotjn,Stanley G Sawicki (Medical University of Ohio ; Toledo ; Ohio ; United States of America) ; Dorothea L Sawicki ; Diane Younker (Medical University of Ohio ; Toledo ; Ohio ; United States of America) ; Yvonne Meyer (Medical University of Ohio ; Toledo ; Ohio ; United States of America) ; Volker Thiel (University of Wü rzburg ; Wü rzburg ; Germany) ; Helen Stokes (University of Bristol ; Bristol ; United Kingdom) ; Stuart G Siddell (University of Bristol ; Bristol ; United Kingdom),Toledo ; Ohio ; United States of America ;   ; Toledo ; Ohio ; United States of America ; Toledo ; Ohio ; United States of America ; Wü rzburg ; Germany ; Bristol ; United Kingdom ; Bristol ; United Kingdom
126,rxbcuseq,Tao Zhang (Genome Institute of Singapore ; Singapore) ; [  ; Mya Breitbart (San Diego State University ; San Diego ; California ; United States of America) ; Wah Heng Lee (Genome Institute of Singapore ; Singapore) ; Jin-Quan Run (Genome Institute of Singapore ; Singapore) ; Chia Lin (Genome Institute of Singapore ; Singapore) ; Wei  ; Shirlena Wee ; Ling Soh (Genome Institute of Singapore ; Singapore) ; Martin L Hibberd (Genome Institute of Singapore ; Singapore) ; Edison T Liu (Genome Institute of Singapore ; Singapore) ; Forest Rohwer (San Diego State University ; San Diego ; California ; United States of America) ; Yijun Ruan (Genome Institute of Singapore ; Singapore),Singapore ;   ; San Diego ; California ; United States of America ; Singapore ; Singapore ; Singapore ;   ;   ; Singapore ; Singapore ; Singapore ; San Diego ; California ; United States of America ; Singapore
127,1r65yam5,,
128,jid2pfhz,Karen Goossens (Ghent University ; Heidestraat 19 ; B-9820 ; Merelbeke ; Belgium) ; Mario Van Poucke (Ghent University ; Heidestraat 19 ; B-9820 ; Merelbeke ; Belgium) ; Ann Van Soom (Ghent University ; Salisburylaan 133 ; B-9820 ; Merelbeke ; Belgium) ; Jo Vandesompele (Ghent University Hospital ; De Pintelaan 185 ; B-9000 ; Ghent ; Belgium) ; Alex Van Zeveren (Ghent University ; Heidestraat 19 ; B-9820 ; Merelbeke ; Belgium) ; Luc J Peelman (Ghent University ; Heidestraat 19 ; B-9820 ; Merelbeke ; Belgium),Heidestraat 19 ; B-9820 ; Merelbeke ; Belgium ; Heidestraat 19 ; B-9820 ; Merelbeke ; Belgium ; Salisburylaan 133 ; B-9820 ; Merelbeke ; Belgium ; De Pintelaan 185 ; B-9000 ; Ghent ; Belgium ; Heidestraat 19 ; B-9820 ; Merelbeke ; Belgium ; Heidestraat 19 ; B-9820 ; Merelbeke ; Belgium
129,u70p2q58,,
130,vv03koi8,,
131,bfmng0fq,,
132,do5c85ad,John M Nicholls (The University of Hong Kong ; Pok Fu Lam) ; Jagdish Butany (Toronto General Hospital ; Toronto ; Ontario ; Canada) ; Leo L M Poon (The University of Hong Kong ; Pok Fu Lam) ; Kwok H Chan (The University of Hong Kong ; Pok Fu Lam) ; Susan Poutanen (University of Toronto ; Toronto ; Ontario ; Canada) ; J S Malik Peiris (The University of Hong Kong ; Pok Fu Lam) ; Maria Wong (The University of Hong Kong ; Pok Fu Lam),Pok Fu Lam ; Toronto ; Ontario ; Canada ; Pok Fu Lam ; Pok Fu Lam ; Toronto ; Ontario ; Canada ; Pok Fu Lam ; Pok Fu Lam
